Name,Price,Release_date,Review_no,Review_type,Tags,Description
Friends vs Friends: Wired Wrecks,2.99,2023-10-10,57,Mixed,"Action,Indie,Violent,Gore",Wired Wrecks is the first Premium Expansion for Friends vs Friends
Angry Video Game Nerd II: ASSimilation,2.99,2016-03-29,648,Very Positive,"Action,Indie,Adventure,Platformer,Gore,Violent,Difficult,Pixel Graphics,Great Soundtrack,2D,Memes,Retro,Singleplayer,Comedy,Funny,Side Scroller","When a mysterious beam from space transforms the world into a game, the Angry Video Game Nerd must return to put the ""ASS"" in ASSimilation. Utilize new mechanics, power-ups, abilities, and collectible armor pieces to defeat your most powerful foe yet, and save the world!"
AquaNox,4.99,2010-04-21,255,Mostly Positive,"Action,Underwater,Singleplayer,Sci-fi,Cyberpunk,6DOF,Shooter,Simulation,Multiplayer,Submarine,Classic","The water is no longer calm.

The undersea world has undergone a transformation from tranquil environment to a place of unspeakable violence, graphic murder and horrific danger."
Moss: Book II,8.19,2022-10-20,483,Very Positive,"Exploration,Puzzle Platformer,Puzzle,Platformer,Action-Adventure,Female Protagonist,Cute,VR,First-Person,Third Person,Narration,Story Rich,Action,Adventure,Casual,Family Friendly,Fantasy,Emotional,Nature,Atmospheric","Quill is back—and she’s being hunted. To stand a chance, Quill will need a true partner by her side—and we hope that partner is you. Moss: Book II is an action-adventure puzzle game and award-winning sequel (The Game Awards ""Best VR/AR Game"") to Moss."
PAYDAY 2: San Martín Bank Heist,3.99,2020-02-27,313,Mostly Positive,"Action,RPG,Violent,Gore","The Payday Gang is down in Mexico, preparing to hit a small town bank that has ties to a powerful drug cartel."
KUNAI,7.49,2020-02-06,396,Mostly Positive,"Indie,Action,Adventure,Metroidvania,Platformer,Great Soundtrack,Pixel Graphics,2D,Ninja,Singleplayer,Side Scroller,Hack and Slash,Cute,Post-apocalyptic,Parkour,Open World,Exploration,Casual,Atmospheric,Fantasy","KUNAI is a quirky, fast-paced action platformer. You play as Tabby, a tablet who joins the fight against a robot uprising. Use your kunai and ninja parkour skills to stop Lemonkus, the A.I.-gone-evil that almost wiped out all human life."
Raptor: Call of the Shadows (1994 Classic Edition),4.99,2014-05-05,161,Very Positive,"Action,Shoot 'Em Up,Classic,2D,Old School,1990's,Bullet Hell","Become a mercenary of the future and pilot the super-tech Raptor. Embark on interplanetary missions to knock off top competitors of MegaCorp, battle against hordes of relentless enemies and spend the bounty to expand your devastating arsenal, which can be upgraded with 14 hardcore weapons!



""Raptor has some of the hottest graphics ever seen in a shareware game, and blows away most commercial games, too! The graphics will amaze you and the sound will astound you. It's a super star!"" - Interactive Entertainment"
Dying Light 2 Stay Human: Hakon Bundle,6.99,2023-07-10,42,Positive,"Action,Adventure,RPG,Gore,Violent","Become the fierce nightrunner hellbent on survival with the new Hakon Bundle. Arm yourself with charm, wit, and the tools necessary to navigate through the treacherous nights of The City."
Frogun,6.99,2022-08-02,386,Very Positive,"Cute,3D Platformer,Female Protagonist,Platformer,3D,Action,Third Person,Cartoony,Colorful,Pixel Graphics,Casual,Family Friendly,Adventure,Physics,Retro,Cartoon,Funny,Singleplayer,Indie,Action-Adventure","Join Renata as she adventures across a world of mystical ruins with the titular FROGUN! Frogun is an old-school platformer with the soul of the PS1/N64 era, in which your frog-shaped grappling hook is a your best friend!"
Insurgency: Sandstorm - Brute Gear Set,2.39,2022-05-16,47,Positive,"Action,Violent,Realistic,War,Shooter,First-Person,Multiplayer,Military,Adventure,Tactical",Assault the prison with the Brute Gear Set for Insurgents. This set includes seven different cosmetic gear pieces.
Here Comes Niko!,8.49,2021-08-03,912,Very Positive,"Cute,Relaxing,3D Platformer,Singleplayer,Exploration,Colorful,Collectathon,Action,Adventure,Cartoony,Stylized,Indie,Platformer,LGBTQ+,3D,Third Person,Fishing,Psychological Horror","Here Comes Niko! is the cozy 3D platformer for tired people! You play as Niko traveling across scenic islands. Make new friends, catch fish, solve puzzles, snag bugs, and more! Oh, Did I mention your boss is a frog?"
Starri,7.79,2023-10-02,88,Very Positive,"Action,Casual,Rhythm,Sports,Artificial Intelligence,Asymmetric VR,Character Customization,Anime,Singleplayer,First-Person,Indie,Family Friendly,2D,3D,Space,Tutorial","Starri is a body-controlled rhythm game you can play with just a webcam, no VR required. Feel your heart pumping as you slash or catch the beat, dodge obstacles, and turn the wheel. Engage your body with music from Indie classics, Global Top Hits and Asian lineups."
FATE: Undiscovered Realms,4.49,2014-04-17,288,Very Positive,"RPG,Action,Adventure,Dungeon Crawler,Action RPG,Hack and Slash,Loot,Roguelike,Isometric","FATE fans! You asked for it and we delivered. FATE: Undiscovered Realms, the dungeon crawl-ier sequel to our classic dungeon crawler, is now available! Take up the quest to find a mysterious tome. Import your characters from the original FATE and start a new adventure today!"
Minotaur Arcade Volume 1,3.99,2018-12-21,50,Very Positive,"Action,VR,Arcade,Retro,Shoot 'Em Up","Minotaur Arcade brings you arcade-style games with a modern twist, playable in 2D or in VR for that 80s Tron ""inside an arcade game"" feeling.



Vol. 1 consists of two Llamasoft classics - ""Gridrunner"" as the arcade game that might have been, and ""GoatUp"" as a light-hearted platformer that will have you baaing for joy."
Rogue Heroes: Ruins of Tasos,8.19,2021-02-23,2311,Mostly Positive,"Co-op,RPG,Action,Adventure,Pixel Graphics,Roguelike,Roguelite,Indie,2D,Online Co-Op,Local Multiplayer,Action Roguelike,Exploration,Multiplayer,Singleplayer,Action-Adventure,Fantasy,Action RPG,Controller,Fishing","Rogue Heroes is a topdown, roguelite adventure game inspired by the Zelda franchise. Play solo or team up with your friends to combat procedurally generated dungeons and take down the evil Titans that threaten to overwhelm the land of Tasos!"
Phoenotopia: Awakening,8.19,2021-01-21,2123,Very Positive,"Adventure,Action,Platformer,Metroidvania,2D,Singleplayer,Puzzle Platformer,JRPG,Action-Adventure,Pixel Graphics,Fantasy,Sci-fi,Fishing,Cute,Combat,Story Rich,Female Protagonist,Indie,RPG,Medieval","Embark on a grand adventure in Phoenotopia! An action-adventure puzzle platformer inspired by the great classics. Meet charming townsfolk, brave the dungeons, and thwart evil in your quest to save your family."
Thirsty Suitors,13.99,2023-11-02,152,Very Positive,"Adventure,RPG,Action,Action-Adventure,Action RPG,Dating Sim,Female Protagonist,3D,LGBTQ+,Funny,Skateboarding,Choices Matter,Combat,3D Platformer,Turn-Based Combat,Story Rich,Singleplayer,Cooking,Stylized,Indie","Thirsty Suitors is a surreal story-driven game which throws turn-based RPG battles, skating and over-the-top cooking mechanics together in a spicy fusion! This isn't a dating sim - it's a breakup simulator. Battle your exes. Disappoint your parents. Find yourself."
Propagation: Paradise Hotel,8.19,2023-05-04,479,Very Positive,"Action,Survival Horror,VR,Zombies,Shooter,Exploration,Horror,Adventure,Stealth,Puzzle,FPS,Story Rich,Psychological Horror,Post-apocalyptic,Gore,Violent,Atmospheric,Female Protagonist,Singleplayer,Immersive","Trapped inside the Paradise Hotel, you are desperate to find your sister. Explore dark surroundings, gather resources, and survive terrifying encounters. This intense single-player VR survival horror game with great storytelling will get your adrenaline pumping."
Slaycation Paradise,1.39,2022-08-18,89,Very Positive,"Action,Shooter,Zombies,Action Roguelike,Indie,Top-Down Shooter,Tower Defense,Dark Humor,Singleplayer,Base Building,Twin Stick Shooter,Survival,Isometric,Violent,Sexual Content",Are you tired of the same boring old vacations? Then boy have we got the tonic for you! Slaycation Paradise offers the ultimate in multi-dimensional apocalyptic tours. Slay away your worries with Twin-Stick action mixed with Tower Defence as you visit the end-of-world scenarios of your dreams!
War Thunder - Leopard 2A4 Pack,64.99,2022-06-15,194,Mixed,"Action,Massively Multiplayer,Simulation,Free to Play","German premium Leopard 2A4, 2000 Golden Eagles, 15 days of Premium account - for grand battles at high ranks in War Thunder!"
TRAIL OUT,8.19,2022-09-07,2080,Very Positive,"Destruction,Racing,Automobile Sim,Vehicular Combat,Combat Racing,Action,Physics,Arcade,Simulation,Singleplayer,PvE,Driving,Funny,Casual,Local Co-Op,Local Multiplayer,Sports,Third Person,Atmospheric,Realistic","Welcome to the festival of explosive races, TRAIL OUT! Reckless racing around the world! Crashes, explosions, destruction, and screaming drivers!"
Deep Rock Galactic - Original Soundtrack Volume I + II,5.49,2018-02-28,302,Very Positive,"Dwarf,Action,Indie,Soundtrack","The Deep Rock Galactic Original Soundtrack Volume I + II is a total of one hundred fifty minutes of gut-punching space dwarf synth goodness! It contains 36 full tracks, composed, mixed, and arranged entirely by our inhouse sound-wizards, Sophus and Troels, here at Ghost Ship Games."
Spark the Electric Jester 2,8.19,2019-05-16,592,Very Positive,"Action,3D Platformer,Fast-Paced,Great Soundtrack,Singleplayer,Indie,Platformer,Adventure",Fast paced 3D action platformer.
Skullgirls: Annie,5.49,2021-07-09,113,Very Positive,"Action,Indie,2D Fighter,Anime,Fighting","Fiercer than she looks, bravest in the cosmos, she is ANNIE OF THE STARS! This DLC includes Annie, her new stage, 29 palettes, character tutorials/trials, and full Story Mode!"
Call of Duty Endowment (C.O.D.E.) Knight Recon: Tracer Pack,19.99,2024-05-06,25,Mixed,"FPS,Action,Multiplayer,Shooter,Singleplayer,Military,First-Person,War,Modern,Tactical,Violent,Co-op,Realistic,Story Rich,Atmospheric,Mature,Online Co-Op,Gore,Third-Person Shooter,Third Person",Support U.S. and U.K. military veterans by purchasing the Call of Duty Endowment (C.O.D.E.) Warrior Pack for Call of Duty®: Modern Warfare® III and Call of Duty®: Warzone™.
Kingpin — Life of Crime,9.99,2009-08-20,396,Very Positive,"Action,FPS,Classic,Crime,Gore,Violent,Singleplayer,Shooter,First-Person,Multiplayer,1990's,Retro,Atmospheric",
PAYDAY 2: McShay Weapon Pack 3,2.49,2023-02-01,122,Mostly Positive,"Action,RPG,Violent",McShay Weapon Pack 3 is available on its own or as part of the Hostile Takeover Bundle.
MORDHAU - Adventurer Pack,5.49,2024-04-29,62,Mostly Positive,"Action,Indie",This DLC features 4 Armor and Weapons sets.
Hunted: The Demon’s Forge™,4.99,2011-06-03,977,Mostly Positive,"Action,Adventure,Third Person,Co-op,Fantasy,Hack and Slash,Dark Fantasy,Singleplayer,RPG,Female Protagonist,Action-Adventure,Local Co-Op,Dungeon Crawler,Third-Person Shooter,Multiplayer","It will take the combined efforts of two great warriors to explore menacing dungeons, overgrown ruins, and downtrodden towns … and discover the secrets of the Demon’s Forge."
Will To Live Online,0.0,2018-04-05,16890,Mostly Positive,"Survival,Multiplayer,Free to Play,Open World,Post-apocalyptic,Open World Survival Craft,FPS,Massively Multiplayer,MMORPG,Shooter,Action,Crafting,First-Person,RPG,Early Access,Exploration,Atmospheric,Gore,Violent,Indie","Will To Live is a MMORPG-shooter whose action takes place in a severe post-apocalyptic world. Explore the world, engage in fights with mutants and other survivors, join the clans in the struggle for existence and prove your right to Live."
Resident Evil Village - Street Wolf Outfit,2.99,2022-12-16,66,Very Positive,"Action,Gore,Violent","Give Rose a tougher look as she takes on enemies with this jacket which features the logo of Chris Redfied's Hound Wolf squad on the back.



Note: This content is useable only in the Shadows of Rose mode included in the Winters' Expansion."
HeXen II,4.99,2007-08-04,472,Very Positive,"Action,FPS,Classic,Fantasy,Gothic,Dark Fantasy,First-Person,Retro,Boomer Shooter,Singleplayer,Shooter,1990's,RPG,Difficult,Puzzle,Old School,Horror,Adventure,Atmospheric","The Four Horsemen of the Apocalypse lurk in the shadows before you. They are Death, Pestilence, Famine, and War. They are the root of all that is evil, but the least of your worries. The last of the three Serpent Riders yet lives."
Solar Ash,17.99,2022-12-08,959,Very Positive,"Action,Adventure,Action-Adventure,Platformer,3D Platformer,Sandbox,Exploration,Hack and Slash,3D,Colorful,Third Person,Atmospheric,Futuristic,Sci-fi,Space,Combat,Controller,Open World,Singleplayer,Story Rich",From the creators of the award-winning Hyper Light Drifter comes the high-speed and gravity-bending world of Solar Ash.
"Batman™: Arkham Origins - Cold, Cold Heart",9.99,2014-04-22,379,Mostly Positive,"Action,Adventure,Open World,Third Person",
Breakers Collection,8.19,2023-01-12,61,Very Positive,"Action,2D Fighter,Arcade,PvP,2D,1990's,Retro,Old School,Combat,Casual,Violent,Female Protagonist,Local Multiplayer,Sexual Content,Multiplayer,Singleplayer,Fighting","Breakers Collection features both of the original games (Breakers and Breakers Revenge) and a brand new content for the cult-classic among the fans of Fighting Games, that was released in 1996 for the Neogeo and Arcades."
Clash: Artifacts of Chaos,14.99,2023-03-09,706,Very Positive,"Action,Adventure,RPG,Singleplayer,Souls-like,Action RPG,Atmospheric,Third Person,Fantasy,Story Rich,Exploration,Surreal,Indie,Soundtrack,Combat,Action-Adventure,Colorful,Martial Arts,Stylized,Beat 'em up","Hunted by mercenaries of an enemy with untold power, the fighter Pseudo and the creature under his protection begin a perilous quest to the edges of strange lands."
Carmageddon: Max Damage,7.49,2016-10-27,2378,Mostly Positive,"Combat Racing,Gore,Action,Racing,Vehicular Combat,Automobile Sim,Multiplayer,Funny,Destruction,Driving,Comedy,Violent,Open World,Dark Humor,Singleplayer,Blood,Arcade,Physics,Memes,Dark Comedy",CARMAGEDDON: MAX DAMAGE is HERE! And it's the antidote to Racing Games.
Obscure,6.99,2014-03-10,2242,Overwhelmingly Positive,"Horror,Survival Horror,Local Co-Op,Action,Adventure,Co-op,Third Person,Classic,Atmospheric,Singleplayer,Survival,Gore,Great Soundtrack,Zombies,Multiplayer,Female Protagonist,Co-op Campaign,Cult Classic,Online Co-Op",
Ancestors Legacy,10.0,2018-05-23,5355,Very Positive,"Strategy,RTS,Medieval,Historical,Violent,Real-Time,Tactical,War,Multiplayer,Great Soundtrack,Atmospheric,Singleplayer,Vikings,Gore,Action,Co-op,Base Building,Real Time Tactics,City Builder,Local Multiplayer","Ancestors Legacy is a squad-based real time strategy with a strong focus on tactics. Inspired by medieval European history, it brings to life four different nations and their conflicts, usually solved by war."
PixelJunk™ Shooter,8.99,2013-11-11,230,Very Positive,"Action,Local Co-Op,2D,Twin Stick Shooter,Puzzle,Sci-fi,Physics,Shooter,Indie,Controller,Singleplayer,Pixel Graphics,Co-op,Casual,Local Multiplayer,Shoot 'Em Up",
Alisa,7.79,2021-10-22,944,Very Positive,"Survival Horror,Retro,Action,Indie,Adventure,1990's,Old School,Female Protagonist,Horror,Mystery,Alternate History,Singleplayer,3D,Gothic,Action-Adventure,Pixel Graphics,Atmospheric,Military,Funny,PvE",Alisa is a Horror-themed Action Adventure game and a genuine throwback to the golden age of 90s 3D games.
Chernobylite - White Rose Pack,2.49,2021-07-28,27,Positive,"Action,Adventure,RPG,Indie,Simulation,Gore,Violent,Nonlinear,Base Building,Strategy,Stealth,Crafting,Post-apocalyptic,First-Person,Sci-fi,Survival Horror,Singleplayer",Add this bittersweet White Rose design to your weapons. Traverse the Exclusion Zone in style with beautifully designed skins available for all weapon types in the game.
Death to Spies: Moment of Truth,3.99,2009-08-08,374,Very Positive,"Action,Stealth,World War II,Third Person,Shooter,Atmospheric,Singleplayer",
Saiko no sutoka no shiki,3.99,2024-01-24,159,Very Positive,"Action,Adventure,Action-Adventure,FPS,Anime,3D,Horror,First-Person,Cartoon,Gore,Singleplayer,Controller,Violent,Stealth,Survival Horror,Female Protagonist,Artificial Intelligence,Dating Sim","Saiko no Sutoka No Shiki is a spin-off of the original game Saiko no Sutoka, in which Saiko is a zombie anime girl who wants to play with her senpai, with the senpai needing to complete her parts and give her food to satisfy her hunger while simultaneously trying to escape."
Witchaven,4.49,2021-06-17,61,Very Positive,"Action,FPS,Shooter,2.5D,First-Person,Medieval,Singleplayer,Combat,Fantasy,RPG,Gore,Violent,Horror,Retro,Classic,Boomer Shooter",Witchaven is a first-person fantasy slasher set in a dark medieval times. Dare to enter this 3D Hell... Dare to enter Witchaven!
Supernormal,4.49,2024-01-08,430,Mostly Positive,"Horror,First-Person,Psychological Horror,Survival Horror,Supernatural,Realistic,Detective,Mystery,Dark,Atmospheric,Investigation,Crime,Action,Multiple Endings,Emotional,Thriller,Stealth,Story Rich,Adventure,Exploration","Inspired by Allison Road. SUPERNORMAL is a psychological horror game set in a seemingly ordinary apartment harboring dark secrets. Play as Detective Wyatt, tasked with unravelling the disappearance of Masato Sakamoto's daughter. Search for clues and unravel the sinister truth."
WARNO - Digital Guides,9.99,2024-05-22,71,Mixed,"Strategy,Action,Indie,Simulation","The Digital Guides give an unrivaled insight into WARNO’s conventional World War III as terrifyingly unleashed in 1989. Two e-books with close to 200 pages contain designer notes, background lore, division descriptions, gameplay tips, recommended books, and much more."
Corsairs Legacy - Pirate Action RPG & Sea Battles,7.79,2024-01-31,580,Mostly Positive,"Choose Your Own Adventure,CRPG,Open World,Sandbox,Action,Naval,Pirates,Sailing,Martial Arts,3D Fighter,Arcade,Action-Adventure,RPG,Detective,3D,Third Person,Alternate History,Historical,Naval Combat,Controller","Get ready for ‘Corsairs Legacy’. It’s an open-world adventure in the Caribbean, the historical pirate life simulator. Sail the sea, fight the enemies, and explore islands. Will you rise to become a legendary pirate or meet your end at the hands of your enemies? The choice is yours."
Shovel Knight: Specter of Torment,9.99,2017-04-05,402,Very Positive,"Action,Indie,Adventure,Platformer,Pixel Graphics,2D,Retro,Singleplayer,Great Soundtrack,Side Scroller,Difficult,Metroidvania","Take control of Specter Knight, servant to the Enchantress, in a quest to recruit a cadre of knights and create the Order of No Quarter. Experience perfect platforming, world-class visuals, impeccable stage design, incredible music, and even meet a friend or two in Shovel Knight: Specter of Torment!"
Men of Valor,5.49,2016-02-09,552,Mostly Positive,"Action,War,FPS,Shooter,First-Person,Cold War,Military,Historical,Classic,Singleplayer,Controller","Vietnam, 1965. You are Dean Shepard, a ""cherry"" to the 'Nam with zero war experience other than standard boot camp training at Parris Island, SC. Along with your platoon, you will fight the NVA and the Vietcong in true historic locales and battles."
Bug Heroes: Tower Defense,5.49,2024-04-04,23,Positive,"Action,Strategy,Tower Defense,Action-Adventure,Third-Person Shooter,Top-Down Shooter,3D,Third Person,Top-Down,War,Singleplayer,PvE,Controller,Indie,Casual","Help the Bug Heroes defend their food stash from hordes of enemies! Control powerful heroes, build your defenses, level up your heroes and towers, equip upgrades, and more!"
Frontline 1942: Battles of the World War 2,0.0,2023-11-14,720,Mixed,"Simulation,Action,Sports,MMORPG,MOBA,Arcade,Action-Adventure,RTS,Wargame,Arena Shooter,Turn-Based Tactics,Top-Down Shooter,Top-Down,3D,First-Person,World War II,1990's,Combat,PvP,Gun Customization","Immerse yourself in the times of World War II and become a real hero! Shoot, capture, win – the path to glory is paved with shells!"
The Bureau: XCOM Declassified,14.99,2013-08-23,4597,Mixed,"Action,Tactical,Sci-fi,Third-Person Shooter,Singleplayer,Third Person,Aliens,Strategy,Shooter,RPG,Atmospheric,Adventure,Cold War,Story Rich,Multiplayer,Open World,Noir,Stealth,Retro,War",
PAYDAY 2: Gage Russian Weapon Pack,1.29,2017-03-23,530,Mostly Positive,"Action,RPG,Violent,FPS,Shooter",
DJMAX RESPECT V - Cytus Pack,14.99,2020-07-16,374,Mostly Positive,"Casual,Sports,Action,Music,Racing",DJMAX RESPECT V Cytus DLC!! Now enjoy the songs of Cytus in DJMAX RESPECT V.
ACE COMBAT™7: SKIES UNKNOWN - TOP GUN: Maverick Aircraft Set -,19.99,2022-05-26,196,Very Positive,"Simulation,Action,Flight","It's finally happening... A special set in collaboration with the movie Top Gun: Maverick, featuring 6 aircraft (inc. originals), as well as nicknames and emblems. Prepare to pilot new aircraft and take your heroics to new heights!"
Desperados 2: Cooper's Revenge,5.49,2008-03-12,211,Mixed,"Action,Western,Strategy,Co-op,Tactical,Online Co-Op,Singleplayer,Isometric,Adventure",
UNLOVED,1.49,2016-09-29,864,Very Positive,"Action,Gore,Horror,FPS,Co-op,Multiplayer,Dark,Survival Horror,Shooter,First-Person,Singleplayer,Atmospheric,Roguelike,Procedural Generation,Survival,Online Co-Op,Indie,Demons","Based on the community award-winning Doom2 mod with the same name by the same creator, UNLOVED is reimagined in the Unreal Engine 4 to bring forth the unspeakable terror in new ways. Play coop with your friends, increase your skills, mod your weapons and face the horror that this unearthly place holds..."
Scavenger SV-4,6.99,2018-02-01,495,Very Positive,"Simulation,Adventure,Indie,Space,Horror,Action,Sci-fi,Atmospheric,Exploration,Singleplayer,Replay Value,Procedural Generation,First-Person,Multiple Endings,Perma Death,Science,Roguelite,Experimental,Roguelike,Retro","Scavenger SV-4 is a highly replayable atmospheric first-person science fiction game.  Part simulator, part roguelike, it has elements of action, combat, resource management, and a dash of horror.  It is not quite like any game you have played before."
Metal: Hellsinger - Purgatory,3.49,2023-12-07,87,Very Positive,"Rhythm,Atmospheric,Action,FPS,Singleplayer,Music,Shooter,Demons,Adventure,Combat,First-Person,Female Protagonist,Score Attack,3D,Stylized,Cinematic,Dark Fantasy,Dark,Narration,Fantasy","Burn brighter than the Hells themselves with three new original songs (performed by Matt Heafy from Trivium, Melissa Bonny from Ad Infinitum, and Joe Bad from Fit for an Autopsy), a new bow weapon, and three cosmetic skins."
Painkiller: Black Edition,1.59,2007-01-24,1550,Very Positive,"Gore,Action,FPS,Classic,Shooter,Great Soundtrack,First-Person,Singleplayer,Arena Shooter,Demons,Horror,Atmospheric,Fast-Paced,Multiplayer,Violent,Gothic,Zombies,Cult Classic,Boomer Shooter,Dark","Painkiller Black Edition includes the expansion pack Battle Out of Hell, featuring 10 additional single-player levels and many new villains."
UnMetal,19.99,2021-09-28,1621,Very Positive,"2D,Pixel Graphics,Old School,Action,Comedy,Indie,Adventure,Retro,1980s,Funny,Military,Action-Adventure,Top-Down,Satire,Stealth,Singleplayer,War,Parody ,Cold War,1990's","UnMetal is a 2D stealth action-adventure that pays homage to the classics with a healthy dose of humor and satire. You play as Jesse Fox, who is definitely NOT an elite commando, under arrest for a crime he didn't commit, and must escape a covert military base using his wits and fists."
Resident Evil 4 Leon & Ashley Costumes: 'Romantic',3.99,2023-03-24,100,Very Positive,"Action,Adventure,Gore,Violent","Indulge in a world of bliss with this set of romantic costumes for Leon and Ashley.

Fight with flair. Survive with sophistication."
The Void Rains Upon Her Heart,6.49,2018-02-14,1055,Overwhelmingly Positive,"Action Roguelike,Bullet Hell,Indie,Shoot 'Em Up,Action,Nudity,Roguelite,Boss Rush,Early Access,Great Soundtrack,Female Protagonist,2D,Pixel Graphics,Cute,Difficult,Roguelike,Atmospheric,Colorful,Side Scroller","Help her heart battle tough bosses in this Boss Rush, Bullet-hell with rogue-like elements. Fight through several randomly chosen boss battles leading up to a final battle. Each defeated monster will give her random gifts that power up her heart. Don't let her heart break!"
Hell Yeah! Wrath of the Dead Rabbit,14.99,2012-10-03,591,Very Positive,"Platformer,Action,2D,Comedy,Singleplayer,Funny,Metroidvania,Gore,Adventure,Great Soundtrack,Side Scroller,Violent,Indie,Controller,Dark Humor,Cute,Cartoony,Colorful,Difficult",A crazy action-adventure platformer...  In Hell.
Zwei: The Ilvard Insurrection,8.19,2017-10-31,442,Very Positive,"Action,RPG,Anime,Great Soundtrack,JRPG,Action RPG,Cute,Female Protagonist","In a world where magic and technology exist side by side, vampire princess Alwen must reclaim her ancestral castle and her magic alongside her unlikely ally, treasure hunter Ragna Valentine. They may make for an odd pair, but when they combine their talents, the sky’s the limit!"
Gothic II: Gold Edition,5.49,2010-01-14,9975,Very Positive,"RPG,Classic,Open World,Atmospheric,Singleplayer,Gothic,Fantasy,Story Rich,Dark Fantasy,Action,Third Person,Medieval,Replay Value,Adventure,Difficult,Great Soundtrack,Dragons,Magic,Action RPG,Pirates",Gothic II: Gold Edition brings together the excitement of Gothic II and the add-on Night of the Raven to your fingertips!
Valkyrie of Phantasm,8.19,2022-10-23,485,Very Positive,"Faith,3D Fighter,Character Action Game,Third-Person Shooter,Action,PvP,Female Protagonist,Multiplayer,Anime,Singleplayer,Cute,3D,Indie,Early Access,Fantasy,Co-op,Flight,Shooter,JRPG",Control characters from the Touhou Project series in this shooting action game featuring high-speed aerial versus combat! Danmaku battles faster than you've ever seen will unfold in the skies of Gensokyo as you use your mobility to dodge countless bullets flying at you with a variety of spells.
Agents of Mayhem,22.99,2017-08-15,3136,Mixed,"Action,Open World,Third Person,Singleplayer,Comedy,Funny,Third-Person Shooter,Shooter,Sexual Content,Adventure,Superhero,Female Protagonist,Violent,Sci-fi,Memes,Sandbox,Cyberpunk,Atmospheric,Multiplayer,Controller","In Agents of MAYHEM, you run a no-holds barred operation against a shadowy super-villain organization known only as LEGION and their mysterious leader, the Morningstar. Explore the city of Seoul as a variety of Super Agents to thwart LEGION's vile plans to take over the world!"
Beat Aim - Rhythm FPS Trainer,9.99,2019-11-02,179,Very Positive,"FPS,Shooter,Simulation,Rhythm,First-Person,Music-Based Procedural Generation,Action,eSports,Competitive,Sniper,Difficult,Third-Person Shooter,Software Training,Multiplayer,Level Editor,Procedural Generation,Singleplayer,Asynchronous Multiplayer,Music,Artificial Intelligence",Beat Aim - rhythm aim trainer designed for FPS players with AI generated maps. Makes improving your aim incredibly fun while listening to your favorite songs. Open any music and customize level generation. Combination of osu! and KovaaK's trainer.
PAYDAY 2: Black Cat Heist,3.99,2021-10-13,196,Mostly Positive,"Action,RPG,Violent,Gore","The Payday Gang goes out to sea to strike a blow at the Golden Dagger Triad where it’ll hurt them the most, their floating casino fortress."
Fireboy & Watergirl: Elements,0.9,2019-01-24,775,Very Positive,"Action,Local Multiplayer,Co-op,Puzzle Platformer,Multiplayer,2D,Nostalgia,Local Co-Op",Help Fireboy and Watergirl explore the 7 Elemental temples!
東方剛欲異聞　～ 水没した沈愁地獄,8.19,2021-10-29,688,Very Positive,"Action,Bullet Hell,Indie,2D,Pixel Graphics,Singleplayer,Faith,Controller,Female Protagonist,Side Scroller,Great Soundtrack,Anime","不思議な力を持つ少女たちを操作して異変の解決を目指す2D弾幕アクションゲーム。立ち塞がる敵が繰り出して

くる圧倒的弾幕を時には避け、時には攻撃で無害な水にして切り抜け、戦場に溢れた水を使う事で強力な攻撃

「スペルカード」を繰り出し決闘を制していく駆け引きのゲームです。

主人公は複数から選択可能で、ストーリーもゲーム内容もそれぞれ個性に応じて違った展開を楽しめます。

無数の弾幕とライバルを蹴散らし、この世界の異変の元凶をその目で確かめてください。"
Battlefield 4™ Ultimate Shortcut Bundle,39.99,2020-06-11,94,Mixed,"Action,Violent","Unlock your arsenal faster with all the following shortcut kits (Assault, Engineer, Support, Recon, Carbine, DMR, Handgun, Shotgun, Grenade, Air Vehicle, Ground and Sea Vehicle)"
Blood II: The Chosen + Expansion,4.99,2014-07-14,484,Mixed,"Action,FPS,Adventure,Shooter,First-Person,Gore,Violent,Horror,Classic,1990's,Dark","Includes original Blood II: The Chosen and add-on package The Nightmare Levels

An immersive atmosphere full of dark humor and exciting action

Four playable characters and wide variety of weapons"
Dragon Marked For Death,12.99,2020-04-21,861,Mostly Positive,"Action,RPG,Pixel Graphics,2D,Anime,Side Scroller,Platformer,Co-op,Online Co-Op,Multiplayer,Female Protagonist,JRPG,Metroidvania,2D Platformer,Fantasy,Adventure,Action RPG,Hack and Slash,Singleplayer,Dark Fantasy","Dragon Marked For Death is a 2D side-scrolling action RPG game where up to 4 players can play together in online multiplayer. 

The characters, known as the Dragonblood Clan, have forged a pact with the Astral Dragon, which granted them special new powers."
Slap City,8.19,2020-09-17,2401,Overwhelmingly Positive,"Indie,Action,Fighting,2.5D,Multiplayer,Platformer,2D Fighter,Funny,Local Multiplayer,4 Player Local,Early Access,Great Soundtrack,Memes,Co-op",Slap City is a Seriously Fun platform fighter with a perfect mix of characters from the Ludosity universe. Play Locally or Online. Slap it hard in Ranked or fast and loose in Slap Ball game mode. We are the original inventors of Clutch Technology.
Predator: Hunting Grounds - Hunting Party DLC Bundle,9.99,2021-12-16,29,Mixed,"Action,Gore,Violent,Nudity","Stalk the jungle with a variety of hunting styles with this DLC bundle featuring the Mr. Black Predator, Falconer Predator, and Captured Predator premium classes."
